# Density(g/cm^3) Pressure(dyn/cm^2) cs2
1.035321e+12 1.422836e+30 nan
1.041496e+12 1.430375e+30 nan
1.047708e+12 1.437974e+30 nan
1.053957e+12 1.445633e+30 nan
1.060243e+12 1.453354e+30 nan
1.066567e+12 1.461136e+30 nan
1.072928e+12 1.468980e+30 nan
1.079327e+12 1.476886e+30 nan
1.085765e+12 1.484855e+30 nan
1.092241e+12 1.492888e+30 nan
1.098755e+12 1.500985e+30 nan
1.105308e+12 1.509146e+30 nan
1.111901e+12 1.517372e+30 nan
1.118533e+12 1.525663e+30 nan
1.125204e+12 1.534021e+30 nan
1.131915e+12 1.542445e+30 nan
1.138666e+12 1.550936e+30 nan
1.145457e+12 1.559495e+30 nan
1.152289e+12 1.568122e+30 nan
1.159162e+12 1.576817e+30 nan
1.166076e+12 1.585582e+30 nan
1.173031e+12 1.594416e+30 nan
1.180027e+12 1.603321e+30 nan
1.187065e+12 1.612297e+30 nan
1.194145e+12 1.621344e+30 nan
1.201267e+12 1.630463e+30 nan
1.208432e+12 1.639655e+30 nan
1.215640e+12 1.648920e+30 nan
1.222890e+12 1.658259e+30 nan
1.230184e+12 1.667672e+30 nan
1.237521e+12 1.677160e+30 nan
1.244902e+12 1.686723e+30 nan
1.252327e+12 1.696363e+30 nan
1.259796e+12 1.706079e+30 nan
1.267310e+12 1.715873e+30 nan
1.274869e+12 1.725745e+30 nan
1.282472e+12 1.735695e+30 nan
1.290122e+12 1.745725e+30 nan
1.297816e+12 1.755834e+30 nan
1.305557e+12 1.766024e+30 nan
1.313344e+12 1.776295e+30 nan
1.321177e+12 1.786647e+30 nan
1.329057e+12 1.797082e+30 nan
1.336984e+12 1.807601e+30 nan
1.344958e+12 1.818202e+30 nan
1.352980e+12 1.828889e+30 nan
1.361049e+12 1.839660e+30 nan
1.369167e+12 1.850517e+30 nan
1.377333e+12 1.861461e+30 nan
1.385548e+12 1.872491e+30 nan
1.393812e+12 1.883610e+30 nan
1.402125e+12 1.894817e+30 nan
1.410488e+12 1.906113e+30 nan
1.418901e+12 1.917499e+30 nan
1.427363e+12 1.928975e+30 nan
1.435877e+12 1.940543e+30 nan
1.444441e+12 1.952204e+30 nan
1.453056e+12 1.963957e+30 nan
1.461722e+12 1.975803e+30 nan
1.470440e+12 1.987744e+30 nan
1.479211e+12 1.999780e+30 nan
1.488033e+12 2.011911e+30 nan
1.496908e+12 2.024140e+30 nan
1.505836e+12 2.036465e+30 nan
1.514818e+12 2.048889e+30 nan
1.523853e+12 2.061412e+30 nan
1.532941e+12 2.074034e+30 nan
1.542084e+12 2.086757e+30 nan
1.551282e+12 2.099581e+30 nan
1.560534e+12 2.112507e+30 nan
1.569842e+12 2.125536e+30 nan
1.579205e+12 2.138669e+30 nan
1.588624e+12 2.151906e+30 nan
1.598099e+12 2.165249e+30 nan
1.607630e+12 2.178697e+30 nan
1.617219e+12 2.192253e+30 nan
1.626864e+12 2.205917e+30 nan
1.636568e+12 2.219690e+30 nan
1.646329e+12 2.233572e+30 nan
1.656148e+12 2.247565e+30 nan
1.666026e+12 2.261669e+30 nan
1.675962e+12 2.275885e+30 nan
